VIN-NR,MAKE-OF-CAR,MODEL-Short,MODEL-YEAR
5TDKZRFH9JS279320,TOYT,HGH,2018
1FMFK15568LA83695,FORD,EPD,2008
1M1AN09Y8EM015988,MACK,   ,2014
JHMFL5G48PX000769,HOND,CIV,2023
3C6UR5HJ2JG326310,RAM ,   ,2018
1FTWW33P56EA75047,FORD,   ,2006
3N1AB7AP0FY261522,NISS,SEN,2015
5B4MP67G263416812,COAH,   ,2006
1FDUF4GN2LEE10892,FORD,   ,2020
5NPE34AF4JH666290,HYUN,SON,2018
1FTEW1C53JFA27564,FORD,   ,2018
1GBDV13W28D207927,CHEV,UPL,2008
3GCPCREC9HG267531,CHEV,   ,2017
4UZABRFC8JCJT3802,THAS,   ,2018
JN1BJ1CP5JW188049,NISS,ROG,2018
NM0LS7BN2CT083567,FORD,TCN,2012
5N1BT3BAXPC735581,NISS,RGE,2023
1FMEU17L2YLA90550,FORD,   ,2000
3FCNF53S1XJA38411,WINN,   ,2000
1HGEJ8647XL011647,HOND,CIV,1999
3GCUKSEJ6JG276723,CHEV,   ,2018
WDBTJ75JX6F169919,MERZ,LK5,2006
1C6RR7KT3ES233094,RAM ,   ,2014
1N4BL4BV0MN325925,NISS,ALT,2021
1FAHP2M86DG101816,FORD,TAU,2013
1C4RJEBG7GC351542,JEEP,CHE,2016
1GT12UEYXJF258156,GMC ,   ,2018
1FADP3K22FL244579,FORD,FOC,2015
5J6TF1H53BL001527,HOND,ACC,2011
1G1PE5SB8G7225658,CHEV,CRU,2016
4T1K61AK2MU582335,TOYT,CAY,2021
1FTMF1C54LKD46106,FORD,   ,2020
JTENU5JR0N5974278,TOYT,4RN,2022
3KPF24AD5NE447161,KIA ,FRT,2022
3BKMHD7X9XF814301,KW  ,   ,1999
3GCPCPEC0JG595639,CHEV,   ,2018
1FTEW1E55JKE85949,FORD,   ,2018
1GNSCKKC7FR159368,CHEV,C15,2015
1GBL6P1F7LV110305,CHEV,   ,1990
3N1AB7AP9KY424842,NISS,SEN,2019
2FMGK5CC8CBD02887,FORD,FLX,2012
3GCUKREC2JG148943,CHEV,   ,2018
1GCGK13U32F201081,CHEV,   ,2002
3N1CP5CU0JL516743,NISS,KIC,2018
1GTEC14X74Z102844,GMC ,   ,2004
JT3DJ81W1R0087179,TOYT,   ,1994
3GKALMEV2LL305986,GMC ,TER,2020
1HTSCNEN0MH308149,INTL,   ,1991
1FTYR2ZM4JKA38086,FORD,TNT,2018
2C3CDXAG8KH635833,DODG,CHA,2019
1C6RR6MTXGS389174,RAM ,   ,2016
1FT7W2B66JEC38644,FORD,   ,2018
1GTEK19V9YZ294090,GMC ,   ,2000
1FTNE24242HA55084,FORD,   ,2002
3GCPCREC7GG355217,CHEV,   ,2016
    J5M83AA025872,JEEP,   ,1975
4V4NC9EH0LN210125,VOLV,   ,2020
1N4AL3AP3EN256366,NISS,ALT,2014
WBA6D0C52GG432402,BMW ,640,2016
1N4AL3AP2DN494577,NISS,ALT,2013
1N4AL3AP3HN325559,NISS,ALT,2017
1GCJTCDE5A8110743,CHEV,   ,2010
3GKALMEGXPL164995,GMC ,TRN,2023
1FTFW1E58PFB16850,FORD,   ,2023
1FTBR3X87LKB13478,FORD,250,2020
1G6CD53B1N4313931,CADI,DEV,1992
1HGCP36898A050071,HOND,ACC,2008
2G1WD5E39E1168528,CHEV,IMP,2014
1FT8W3BT5JEB17894,FORD,   ,2018
1FM5K8GT0HGD62357,FORD,XPL,2017
5TBBT441X2S246931,TOYT,   ,2002
5TFEY5F12CX120020,TOYT,   ,2012
2HSCDAHN27C520492,INTL,   ,2007
5TDZT34A13S178309,TOYT,SQA,2003
1HGCG5658YA031996,HOND,ACC,2000
4T3ZK3BB6EU067402,TOYT,VNZ,2014
1FTFS24Y7NHB58974,FORD,   ,1992
1GKKRRKD6FJ137390,GMC ,ACA,2015
1GCGC23R9XF088713,CHEV,   ,1999
JH2SC6840EK100161,HOND,GL1,2014
1GCWGAFG2J1178617,CHEV,EXP,2018
3GTU2PEJ8HG212884,GMC ,   ,2017
1GBJG31U851114708,SSEE,   ,2005
1FTEW1C55MKD34438,FORD,   ,2021
3C7WDMBL1CG266689,DODG,   ,2012
1GNDS13S472191300,CHEV,RCN,2007
JTDBE30K320022056,TOYT,CAY,2002
1FADP3L93HL237140,FORD,FOC,2017
3GCUKPECXFG167610,CHEV,   ,2015
4T1FZ1FB1LU042331,TOYT,AVA,2020
WBAVM1C57EVW48269,BMW ,X1 ,2014
1C6HJTFG8PL507492,JEEP,   ,2023
1C6RR6FG9KS716639,RAM ,   ,2019
3GCPCREC6EG266977,CHEV,   ,2014
1GCNCNEH4JZ210431,CHEV,   ,2018
WDDHF5KB4CA570133,MERZ,E  ,2012
1FAFP34P03W313992,FORD,FOC,2003
1FTPW12V47KC97705,FORD,   ,2007
1G1PF5SC8C7243965,CHEV,RCN,2012
1FTYR44E82PA92295,FORD,   ,2002
2FTRX17W0YCB16497,FORD,   ,2000
1FTDX1720VNC88316,FORD,   ,1997
YV4102DL9L1488302,VOLV,XC6,2020
3LN6L5C94JR621585,LINC,MKZ,2018
1GB1CUE80FF595105,CHEV,   ,2015
5N1BA08A77N709634,NISS,ARM,2007
1C4RJFLG3JC419167,JEEP,GRC,2018
1N4AL21EX9N487862,NISS,ALT,2009
1FATP8UH1L5106719,FORD,MUS,2020
3FA6P0HD4KR148187,FORD,FUS,2019
1N6AA1EK8KN530169,NISS,   ,2019
1FADP3F24DL248303,FORD,FOC,2013
1FTFW1CTXEKE14242,FORD,   ,2014
1FTEW1C51JKC11733,FORD,   ,2018
1FT7W2BN3NEF75009,FORD,   ,2022
1GT121C8XBF258578,GMC ,   ,2011
1FDAF57F31EB93318,FORD,   ,2001
5TFRM5F12AX010109,TOYT,   ,2010
1FT7X2A69LEC51230,FORD,   ,2020
1J8HH48P97C630976,JEEP,COM,2007
1GC4YME74MF283092,CHEV,   ,2021
1GT12SEY5KF172971,GMC ,   ,2019
5TDBY5G18JS158209,TOYT,SQA,2018
2GCEK19R5V1174133,CHEV,   ,1997
1FTWW32P83EB60882,FORD,   ,2003
1HGCV1F58KA136625,HOND,ACC,2019
1FA6P8TH1J5156502,FORD,MUS,2018
4T1T11AK9PU152759,TOYT,CAM,2023
5TDYZRFH5KS304659,TOYT,HGH,2019
1FD7X2A65NEC86197,FORD,   ,2022
3C6MRVJG6ME545589,RAM ,PRO,2021
1FTPX14545FA33593,FORD,   ,2005
1GC4K0E82FF159120,CHEV,   ,2015
1G1BN69H9G9128497,CHEV,CAP,1986
JTEGD20V040011060,TOYT,RAV,2004
1FTFX1EF4GKD96960,FORD,   ,2016
ZACNJBAB6LPL43390,JEEP,REN,2020
1GCGG29V261159139,CHEV,EXP,2006
2HNYD2H29CH505506,ACUR,MDX,2012
WA1DECF30M1056066,AUDI,Q3 ,2021
2GCEK19B061133087,CHEV,   ,2006
1FT7W2A65LED68550,FORD,   ,2020
3N1AB7APXKY275907,NISS,SEN,2019
1FTFW1RG5HFA90088,FORD,   ,2017
1FDAF56F72EB38034,FORD,   ,2002
3GTEC23069G287745,GMC ,   ,2009
5NPE24AFXFH195899,HYUN,SON,2015
WBABB1317LEC02337,BMW ,325,1990
JTEZU5JR1F5101786,TOYT,4RN,2015
5TDZM5G1XAS001288,TOYT,   ,2010
5XXGU4L34GG099253,KIA ,OPT,2016
1GCWGFCA5B1164953,CHEV,   ,2011
JTKDE167490297664,TOYT,SCI,2009
1FT7W2BTXGEB72534,FORD,   ,2016
3C6UR5HJ3JG276453,RAM ,   ,2018
5YJ3E1EB5KF494875,TESL,MOD,2019
1FT7W2B68HEE30416,FORD,   ,2017
           LG8574,LIGI,   ,1985
1LNHM81W65Y663828,LINC,TOW,2005
1GCPAEEDXPZ317892,CHEV,   ,2023
1FDSS34L83HA16490,FORD,   ,2003
1GBWGACP6M1301171,CHEV,   ,2021
1ZVFT84N055190086,FORD,MUS,2005
1LNHM82W3YY903811,LINC,TOW,2000
1GKS2DKL0MR167949,GMC ,YUK,2021
1FMSK8FH4LGA76620,FORD,XPL,2020
3GNAXUEG5PS173522,CHEV,EQX,2023
2GCEC13T851341313,CHEV,   ,2005
3GCUKSE20BG349496,CHEV,   ,2011
1FTDX1727VNC16190,FORD,   ,1997
5TFHW5F11DX306720,TOYT,   ,2013
5J6RM4H9XGL117884,HOND,CRV,2016
JN1CV6EK2AM105082,INFI,G37,2010
2C4RC1DG5MR523425,CHRY,VOY,2021
1GNLC2EC5FR274521,CHEV,TAH,2015
WAU2GBFC7DN067122,AUDI,A7 ,2013
2HKRW1H96HH513928,HOND,CRV,2017
4T1C31AK9NU585490,TOYT,CAY,2022
JN1BJ1CP2JW164954,NISS,ROG,2018
5NPE34AF0FH086235,HYUN,SON,2015
1D4HD38N15F563235,DODG,DUR,2005
5TFAW5F10EX365938,TOYT,   ,2014
2G61M5S32F9172397,CADI,XTS,2015
2GCEK19R2W1123464,CHEV,   ,1998
3C6UR5DL7NG296668,RAM ,   ,2022
1FMJU1HT7NEA45505,FORD,   ,2022
4T1B11HK5KU229895,TOYT,CAY,2019
5TDYK3DC5FS639127,TOYT,SNA,2015
1FTFW1CF1EFC62208,FORD,   ,2014
5XYP64GC2PG397087,KIA ,TEL,2023
2G1WB58K469302132,CHEV,IMP,2006
1GCGG25K881156163,CHEV,EXP,2008
1FALP52U2VA181471,FORD,TAU,1997
3GTU2PEJXHG295475,GMC ,   ,2017
3TMAZ5CN7NM178071,TOYT,   ,2022
5NMSH13E78H204949,HYUN,SFE,2008
1FT7W2BT9CEC61117,FORD,   ,2012
1G1YY26W785132019,CHEV,COR,2008
1GTHC23U15F897211,GMC ,   ,2005
2T3YFREV0FW197847,TOYT,RAV,2015
WD3PE7CC9B5578208,MERZ,   ,2011
1FA6P8TH4J5107004,FORD,MUS,2018
1HD1KB4149Y663078,HD  ,   ,2009
1N6MD26YX2C362589,NISS,   ,2002
7MUEAABG7NV038788,TOYT,CCR,2022
5FNYF3H57DB018537,HOND,PLT,2013
7FARW1H59LE017448,HOND,CRV,2020
1GC1YLE73LF186168,CHEV,   ,2020
3MW5R1J08M8B72592,BMW ,330,2021
KNDJN2A22K7917582,KIA ,SOU,2019
JTEDU5JR8P5289878,TOYT,4RN,2023
1FUBCXFE8LHLM6095,FRHT,   ,2020
1FTWW30PX6EB69963,FORD,   ,2006
3C6TR5CT3EG155125,RAM ,   ,2014
2G61T5S35D9117121,CADI,XTS,2013
5UXTR7C51KLF33268,BMW ,X3 ,2019
3N1CN7AP8HL815843,NISS,VER,2017
1FTEW1C88AFA03223,FORD,   ,2010
1N4AA5APXDC814337,NISS,MAX,2013
W1X8ED3Y6LT038882,FORV,   ,2021
2C3CDXBG0PH529429,DODG,CHA,2023
2T3YFREV8DW036773,TOYT,RAV,2013
1GKS2BKC0LR264846,GMC ,YUK,2020
1LNHM81W44Y607918,LINC,TOW,2004
5TFRX5GN4LX179186,TOYT,   ,2020
1FTEW1C50NKE27692,FORD,   ,2022
1GTCS149888215970,GMC ,   ,2008
WAUAUDGY2PA067549,AUDI,A3 ,2023
KNDJT2A62C7469421,KIA ,SOL,2012
4S4WMARD1L3471258,SUBA,ASC,2020
3C6UR5SJ8LG197128,RAM ,   ,2020
1GCPWAEF2LZ159148,CHEV,   ,2020
5TDZKRFH6FS074564,TOYT,HGH,2015
WVW587CD7NW125653,VOLK,   ,2022
5NPDH4AE7GH762296,HYUN,ELA,2016
5J6RM3H37EL044413,HOND,CRV,2014
1GCEC14X43Z303244,CHEV,   ,2003
WDC0J4KB9HF206844,MERZ,GLC,2017
1FMJU1HT2HEA40930,FORD,EXP,2017
1N6BD0CT0CC439704,NISS,   ,2012
1G1GZ11G8HR120098,CHEV,MON,1987
2FMPK4G95NBA21366,FORD,EDG,2022
KNDPN3AC5L7737460,KIA ,SPO,2020
1G4GB5G3XGF223462,BUIC,LAC,2016
1FTMF1C83GKD27076,FORD,   ,2016
1GT12REG3JF161465,GMC ,   ,2018
1FTPW125X6FA64144,FORD,   ,2006
1FMCU0F75FUA14690,FORD,ECP,2015
1GKKRPKD4DJ217272,GMC ,   ,2013
2C3CDZFJ2KH581509,DODG,CHA,2019
1G1ND52F64M668837,CHEV,CLA,2004
1FT8W3BT3HEB61015,FORD,   ,2017
3N1AB8CV1NY270746,NISS,SEN,2022
5J8TC1H61ML023229,ACUR,RDX,2021
1GCHC29U97E128682,CHEV,   ,2007
1C4RJEAG4LC346780,JEEP,   ,2020
19XFL2H81PE004633,HOND,CIV,2023
1FTBR1X88LKA24037,FORD,TRN,2020
3FA6P0H74FR203043,FORD,FUS,2015
5TDGZRAH3MS035079,TOYT,HGH,2021
3VV3B7AX1KM055795,VOLK,TIG,2019
5N1AZ2MG9HN155962,NISS,MUR,2017
5N1DL0MNXKC502185,INFI,QX6,2019
JN8AT2MT8HW142735,NISS,ROG,2017
5TDYY5G13FS060254,TOYT,SQA,2015
1GKER23DX9J217590,GMC ,ACA,2009
1G11H5SA6DF189233,CHEV,MAL,2013
1GBJG31G521192613,DUTC,   ,2003
1FM5K8AB7LGA82928,FORD,   ,2020
JTJGDCAZ3P5012431,LEXS,NX2,2023
3N1AB7AP4HL646467,NISS,SEN,2017
3C4PDCAB0LT261866,DODG,   ,2020
1GTEC19K6RE505032,GMC ,   ,1994
2GKFLRE30H6251195,GMC ,TRN,2017
KL4CJASB6EB516223,BUIC,ENC,2014
2T1BU4EE0AC514091,TOYT,COR,2010
5NMS33AA4LH294192,HYUN,SFE,2020
5J8TC1H33LL016643,ACUR,RDX,2020
2C3HE66G01H716314,CHRY,300,2001
1FMCU0H64MUB06049,FORD,ESC,2021
1GNSCBKC5FR588167,CHEV,TAH,2015
5VBBA89A6LA120228,ALGB,   ,2020
1GTHC24U46E168450,GMC ,   ,2006
JM3ER2W59A0323448,MAZD,CX7,2010
3GCUKREC8HG450344,CHEV,   ,2017
5NPD84LF2LH569800,HYUN,ELA,2020
1FTRW076X2KC12251,FORD,   ,2002
1FTFW1E41KKD29596,FORD,   ,2019
1GC2CVCG0DZ242309,CHEV,   ,2013
3GCNWAEH0KG257666,CHEV,   ,2019
JF2SJGWC2HH432944,SUBA,FOR,2017
5N1AA08A44N744171,NISS,ARM,2004
4T1BG22K01U801726,TOYT,CAY,2001
1GC4K0EY5HF158577,CHEV,   ,2017
1FTPW12545KE73357,FORD,   ,2005
19XFC2F59HE005524,HOND,RCN,2017
1GC3YSE74NF240602,CHEV,   ,2022
1BAKGCPH9JF336630,BLUB,   ,2018
1GKKRSKD5DJ117667,GMC ,ACA,2013
3HCEUTANXML159626,INTL,   ,2021
1N6ED1CL9PN654740,NISS,   ,2023
1N6AD0CU8CC453032,NISS,   ,2012
1N4AL3AP6FN302564,NISS,ALT,2015
3C6UR5CJ5NG237876,RAM ,   ,2022
1GBFG154581227850,CHEV,EXP,2008
    JH23G3B527467,DODG,CHA,1973
1GKS1DKL5NR327179,GMC ,YUK,2022
3C63RRGJ6HG614734,RAM ,   ,2017
3D7UT2CL2AG161771,DODG,   ,2010
2FTRX17W94CA21768,FORD,   ,2004
5TFRM5F17AX017153,TOYT,   ,2010
1GTU9EET1LZ358473,GMC ,   ,2020
3GCPCPE08CG255972,CHEV,   ,2012
4T1BF3EK9AU528743,TOYT,CAM,2010
KL79MTSL0MB037951,CHEV,TBZ,2021
5N1BA08D28N603457,NISS,ARM,2008
1D3HV18T39S785695,DODG,   ,2009
5XYPG4A34KG512285,KIA ,SOR,2019
1FDUF5HT2KDA26683,FORD,   ,2019
5N1AZ2MG6JN201477,NISS,MUR,2018
2GKALLEK6H6199604,GMC ,TRN,2017
5NMS3DA18PH001129,HYUN,SFE,2023
2HNYD2H31CH502883,ACUR,MDX,2012
1GC1KUEY2JF179404,CHEV,   ,2018
2CNBE634926904933,CHEV,TRK,2002
5XXGT4L3XLG395648,KIA ,OPT,2020
JN8AZ1MU8AW012994,NISS,MUR,2010
1N4AL3APXGC151578,NISS,ALT,2016
1HGCV1F30LA131743,HOND,ACC,2020
4T4BF1FK2FR513193,TOYT,CAM,2015
5TDGZRAH3LS513404,TOYT,HDR,2020
3FADP4BJ4GM142343,FORD,FIE,2016
1BAAHCSA0TF069173,BLUE,   ,1996
WDBUF65J74A432636,MERZ,320,2004
1C6RR7FG8NS153190,RAM ,   ,2022
3C6JR6DG6LG242352,RAM ,   ,2020
1FMJU1H56CEF14677,FORD,EPD,2012
1FTNX20L04EA70470,FORD,   ,2004
1GTU9DED3KZ176839,GMC ,   ,2019
3GTEK23329G264993,GMC ,   ,2009
5TDYZ3DC3LS079163,TOYT,SIE,2020
1GNSCBKC6JR194914,CHEV,TAH,2018
5FNYF7H93MB004113,HOND,PAS,2021
3B7HF13Y21G806749,DODG,   ,2001
JM1BL1L81C1600533,MAZD,3  ,2012
4T1BF1FKXFU927137,TOYT,CAM,2015
KMHCT4AE5CU178579,HYUN,ACC,2012
1GCWGAFP8J1176886,CHEV,   ,2018
3C6UD5HL5CG140781,DODG,   ,2012
1FT7W2A63HED15398,FORD,   ,2017
2C3CCAAG4GH248445,CHRY,300,2016
3GTU9FEL4MG447445,GMC ,   ,2021
5LMEU27A2YLJ42860,LINC,   ,2000
1D7HL48N74S782136,DODG,   ,2004
1FTZX1725WKB09986,FORD,   ,1998
1GNSCAKC8HR124884,CHEV,TAH,2017
1FTSW20P95EB38887,FORD,   ,2005
3GNCJKSB7HL224148,CHEV,TRX,2017
7FARW1H82KE024993,HOND,CRV,2019
3C4NJDDB5LT166947,JEEP,COM,2020
ZFBERFBB1J6L58660,RAM ,PRO,2018
1GKKRRKD9FJ210347,GMC ,ACA,2015
WAUAUGFF9LA102907,AUDI,A3 ,2020
KNAFU6A21A5184366,KIA ,FOR,2010
JF2SJAAC0JH407325,SUBA,FOR,2018
1FMZU62E42UC28209,FORD,XPL,2002
1HGCM56367A012241,HOND,ACC,2007
1G1PC5SH1G7135682,CHEV,CRU,2016
KMHLN4AJ5MU012135,HYUN,ELA,2021
1FTCR14U2MTA26545,FORD,   ,1991
3GTP1VE02CG300012,GMC ,   ,2012
1GTEC14W92Z161012,GMC ,   ,2002
5TDZARFH9KS056606,TOYT,HDR,2019
3GCPCPEH1EG290359,CHEV,   ,2014
5FNRL6H70NB020888,HOND,ODY,2022
1C4BJWEG0EL197188,JEEP,WTA,2014
1FMZK1ZM8JKB47150,FORD,   ,2018
3GTU2NEJ8HG417318,GMC ,   ,2017
1GCNCPEA4CZ101873,CHEV,   ,2012
2GTEK19T411339689,GMC ,   ,2001
3N1AB6APXAL621038,NISS,SEN,2010
4T1T11AK3PU164003,TOYT,CAM,2023
1FMEU64826UB21798,FORD,   ,2006
2C3CDYAG5DH593002,DODG,CHA,2013
3MVDMABL5MM244358,MAZD,CX3,2021
WBAPH7G58BNM55618,BMW ,328,2011
4S4BTGPD0L3149203,SUBA,   ,2020
JN8AZ08W37W620159,NISS,MUR,2007
1FTNS24L56DB28882,FORD,250,2006
1C4PJMMB0PD114114,JEEP,CHK,2023
2T3H1RFV5LW096943,TOYT,   ,2020
3GCUKREC3JG628117,CHEV,   ,2018
1XKZD49X0JJ221939,KW  ,   ,2018
1FTFW1E86NFB33721,FORD,   ,2022
1FDUF5GT4CEC62734,FORD,   ,2012
1GNSCCKC1FR224981,CHEV,TAH,2015
5NPEB4AC5DH506416,HYUN,SON,2013
1FTEX1CB0NKE65989,FORD,   ,2022
1FTBR1C82LKA07112,FORD,TRN,2020
4T1BD1FK9CU011065,TOYT,CAM,2012
1GNSCJKC4LR112014,CHEV,SUB,2020
4T1BK1EB0EU118645,TOYT,AVA,2014
4T1BE46K17U682413,TOYT,CAM,2007
1N4BL4CV5PN331349,NISS,ALT,2023
1F66F5DN1N0A01261,THOR,   ,2023
WDCGG5HBXDG011799,MERZ,GK3,2013
3GTP1XE25DG329910,GMC ,   ,2013
4T1BF1FK2HU448908,TOYT,CAM,2017
1HGCV1F31MA097927,HOND,ACC,2021
1GTDC14ZXLZ510024,GMC ,   ,1990
3C6JR6DG9KG511734,RAM ,   ,2019
1FT7W2AT1FEC95171,FORD,   ,2015
1GCEC14V81Z203630,CHEV,   ,2001
5YFBURHE9HP625807,TOYT,COA,2017
1FTRF122X6KB29709,FORD,   ,2006
JT8UF11E4P0180107,LEXS,LS ,1993
5YFBURHE6HP584438,TOYT,COR,2017
JTHBK262795087613,LEXS,250,2009
1GC0CVCG4DF140679,CHEV,   ,2013
1FDZU82E3VVA28173,FORD,   ,1997
1J4FA59S62P775108,JEEP,   ,2002
1FTEW1C50KKE23251,FORD,   ,2019
1GNSKSKD4MR107933,CHEV,TAH,2021
WBA4Z1C52JEC70484,BMW ,430,2018
1FTMF1EP7GKF40066,FORD,   ,2016
5TBET34154S447162,TOYT,   ,2004
YV4902RC1F2569563,VOLV,XC6,2015
4S4BTANC5L3253399,SUBA,   ,2020
1FTRW07W51KD73427,FORD,   ,2001
1G1ZD5E03CF153385,CHEV,MAL,2012
2HGFE2F5XNH544200,HOND,CIV,2022
1N4BL4BV6LC239934,NISS,ALT,2020
3TMAZ5CN0GM007004,TOYT,   ,2016
3FRNF65234V590504,FORD,   ,2004
WA1HCCFS2HR012849,AUDI,Q3 ,2017
1FTDX1767VKA95214,FORD,   ,1997
JN8AT2MT8LW040733,NISS,ROG,2020
1GKS1GKD2NR164002,GMC ,YUK,2022
5NPE34AF1HH588237,HYUN,SON,2017
3N1AB6AP6CL616857,NISS,SEN,2012
1FTEW1CF6HKC39532,FORD,   ,2017
1N4BL2APXBN506342,NISS,ALT,2011
WBA3A5C52CF347777,BMW ,328,2012
1C3CCBBG6DN716926,CHRY,200,2013
1GC1CUEG8HF193953,CHEV,   ,2017
1GCHK23255F823713,CHEV,   ,2005
3C4PDCGG1HT509276,DODG,JNY,2017
2HKRW1H55JH504088,HOND,CRV,2018
1FTRW07L81KC60416,FORD,   ,2001
3B6MC36612M316484,DODG,   ,2002
1GBJC74609E136488,CHEV,   ,2009
1FTBR1C80MKB03077,FORD,   ,2021
1FT7W2BT3HEF25102,FORD,   ,2017
JTEBU4BF2AK085012,TOYT,FJC,2010
1C4NJRFB9HD160110,JEEP,PAT,2017
1G1JC12F147244443,CHEV,CAV,2004
5VBBA67AXPA122819,ALGB,   ,2023
1FTMF1CB3JKC76553,FORD,   ,2018
1FMCU0G65NUC00203,FORD,ESC,2022
1FTFW1EV7AFD22975,FORD,   ,2010
1FMRU17L82LA25033,FORD,EXP,2002
2G1WG5EK4B1177518,CHEV,IMP,2011
1GAGG25UX41171350,CHEV,   ,2004
1FTWW33R58ED61582,FORD,   ,2008
1FAHP3HN0AW217391,FORD,FOC,2010
1FADP3F24JL265579,FORD,FOC,2018
1C6SRFHT7KN738391,RAM ,   ,2019
1FTNE2EW2DDB03998,FORD,   ,2013
2GCEK19T6Y1287198,CHEV,   ,2000
1FT7W2BT2EEB44871,FORD,   ,2014
JTJBM7FX0G5132647,LEXS,   ,2016
1C4AJWAG8EL141985,JEEP,WRA,2014
JF2SKAJC6LH424338,SUBA,FOR,2020
1GB0GSFP6K1277023,CHEV,   ,2019
2GCEK13T041393021,CHEV,   ,2004
1C6RR7ST1KS692572,RAM ,   ,2019
4T1BF28B24U368909,TOYT,AVA,2004
1G1YV2DW3C5105548,CHEV,CVT,2012
1D7HA18D73S268913,DODG,   ,2003
1GDM7T1C4WJ519820,BLUE,   ,2000
5FRYD3H26GB010508,ACUR,MDX,2016
1GNSCCKC4FR514972,CHEV,TAH,2015
4T1B11HK1KU830995,TOYT,CAY,2019
1FTEX1CP6KKD57819,FORD,   ,2019
JTJAM7BX1M5280951,LEXS,460,2021
2G1FB1EV6A9149530,CHEV,CAM,2010
WDYPE8DC7E5889591,FRHT,   ,2014
1FTFX1CT3DKE34912,FORD,   ,2013
5TBJN32173S388514,TOYT,   ,2003
2NP2HM7X2LM688529,PTRB,   ,2020
5XXG64J25MG050420,KIA ,K5 ,2021
1FDPK74P8LVA11873,FORD,   ,1990
1G1FB3DS3H0150688,CHEV,CAM,2017
3GCUKREC0EG419004,CHEV,   ,2014
KNDJ23AU4L7709592,KIA ,SOL,2020
5TDZY5G16GS065356,TOYT,   ,2016
WDDUG8CB2FA143758,MERZ,S50,2015
JTMWFREV6JJ168691,TOYT,RAV,2018
1C4RJKAG6P8815181,JEEP,GCH,2023
1FT7W2BN9NEE55683,FORD,   ,2022
5TDZY68A68S005034,TOYT,SQA,2008
1FT7W2BT3MEC24680,FORD,   ,2021
2GNAXTEV9L6174979,CHEV,EQU,2020
1GCDM19X02B143758,CHEV,   ,2002
KNDJP3A54J7904678,KIA ,SOL,2018
1FT8W3DTXKED07320,FORD,   ,2019
1FTCR10A5SPB07041,FORD,   ,1995
5GAKRCKD1DJ247321,BUIC,ENC,2013
2C4RDGEG2JR189431,DODG,GCV,2018
1GTEC19V15E223921,GMC ,   ,2005
1C4RJKBG4P8768604,JEEP,GCH,2023
3GCPCREC8EG418418,CHEV,   ,2014
WDDGF4HB2ER312551,MERZ,C  ,2014
2G1WS551069373033,CHEV,IMP,2006
5TDKDRAH3PS003875,TOYT,HGH,2023
1G1FH1R7XG0172094,CHEV,CAM,2016
1FDXF7DC2HDB04788,FORD,   ,2017
4T1BE32K55U560179,TOYT,CAM,2005
3N1AB7AP2HY263534,NISS,SEN,2017
2C3CCAAG9EH327428,CHRY,300,2014
1N4BL4BV9LC195749,NISS,ALT,2020
1GNKRHKD1FJ191628,CHEV,TRV,2015
1FD0X5HT2PEC09532,FORD,   ,2023
2FMDK3JC2ABA17142,FORD,EDG,2010
1XPXDP9X1ED236781,PTRB,   ,2014
KMHWF25H95A166825,HYUN,SON,2005
2T2HZMDA5LC243974,LEXS,RX ,2020
1FTEW1CF7HFC30380,FORD,   ,2017
1FTPW12V57FA76610,FORD,   ,2007
3N1CN7AP3KL846246,NISS,VER,2019
1FDRF3GT1DEB31157,FORD,   ,2013
3GNEC16Z12G287363,CHEV,C15,2002
KNAFE221995665537,KIA ,SPC,2009
3MYDLBYV6HY174047,TOYT,YAR,2017
1GC1KWEG0FF106350,CHEV,   ,2015
2GCEC130781334525,CHEV,   ,2008
1GBDV13W88D131601,CHEV,   ,2008
4T1C11AK0LU927427,TOYT,CAM,2020
1G4PR5SK9C4210198,BUIC,VER,2012
5PVNE8JT962S11953,HINO,   ,2006
JTEZU5JR9L5226062,TOYT,   ,2020
1FMJU2A59EEF22422,FORD,EPD,2014
5NPLM4AG3NH083969,HYUN,ELA,2022
1G6AB5SA0E0100241,CADI,ATS,2014
2FMPK3G96GBB04107,FORD,EDG,2016
1F65F5KY6K0A02684,FORD,   ,2019
1HGCR2F58DA033086,HOND,ACC,2013
5FPYK1F74EB014796,HOND,   ,2014
1C4RDHAG1FC201418,DODG,DUR,2015
3C63RRJL5KG525013,RAM ,   ,2019
JTDEPMAE2MJ182268,TOYT,COR,2021
1N4BL3AP4DC907678,NISS,ALT,2013
1GCDT196558268735,CHEV,   ,2005
1FTEX1C84AFD72433,FORD,   ,2010
1GNEC13Z43R171001,CHEV,TAH,2003
5LM5J7XC9NGL22297,LINC,AVA,2022
5N1DL0MN7JC506399,INFI,QX6,2018
1FTNF20538EC31145,FORD,   ,2008
WP1AA2AY8NDA06399,PORS,CYN,2022
1GCEC14X28Z288489,CHEV,   ,2008
JNKCV54E76M706237,INFI,G35,2006
1HGCR2F57FA050349,HOND,ACC,2015
YV1940AS4B1146212,VOLV,S80,2011
3TYRX5GN4MT026867,TOYT,   ,2021
         F8241735,CAD ,   ,1968
1FTFW1ET1DFA86259,FORD,   ,2013
1FTYR10D08PB07442,FORD,   ,2008
3D7UT2HL3AG162887,DODG,   ,2010
KL79MPSL6MB075191,CHEV,TRB,2021
1C6RR7GT0ES105615,RAM ,   ,2014
